g ㄱ
gg ㄲ
G ㄲ
n ㄴ
d ㄷ
dd ㄸ
D ㄸ
r ㄹ
m ㅁ
b ㅂ
bb ㅃ
B ㅃ
s ㅅ
ss ㅆ
S ㅆ
j ㅈ
z ㅈ
jj ㅉ
J ㅉ
zz ㅉ
Z ㅉ
ch ㅊ
c ㅊ
k ㅋ
t ㅌ
p ㅍ
h ㅎ
v ㅇ
A ㅏ
AI ㅐ
AE ㅐ
EV ㅐ
YA ㅑ
YAI ㅒ
YAE ㅒ
YEV ㅒ
EO ㅓ
OV ㅓ
E ㅔ
EOI ㅔ
OVI ㅔ
YEO ㅕ
YOV ㅕ
Y ㅕ
YE ㅖ
YEOI ㅖ
YOVI ㅖ
O ㅗ
OA ㅘ
WA ㅘ
OAI ㅙ
WAE ㅙ
WEV ㅙ
OI ㅚ
OE ㅚ
YO ㅛ
U ㅜ
W ㅜ
UEO ㅝ
UO ㅝ
UOV ㅝ
WO ㅝ
UE ㅞ
WE ㅞ
UI ㅟ
WI ㅟ
YU ㅠ
EU ㅡ
UV ㅡ
EUI ㅢ
UVI ㅢ
UI ㅢ
I ㅣ
ga 가
gag 각
gagg 갂
gaG 갂
gags 갃
gan 간
ganj 갅
ganh 갆
gad 갇
gal 갈
galg 갉
galm 갊
galb 갋
gals 갌
galt 갍
galp 갎
galh 갏
gam 감
gab 갑
gabs 값
gas 갓
gass 갔
gang 강
gaj 갖
gaz 갖
gach 갗
gac 갗
gak 갘
gat 같
gap 갚
gah 갛
gai 개
gae 개
gev 개
gaig 객
gaeg 객
gevg 객
gaigg 갞
gaiG 갞
gaegg 갞
gevgg 갞
gaeG 갞
gevG 갞
gaigs 갟
gaegs 갟
gevgs 갟
gain 갠
gaen 갠
gevn 갠
gainj 갡
gaenj 갡
gevnj 갡
gainh 갢
gaenh 갢
gevnh 갢
gaid 갣
gaed 갣
gevd 갣
gail 갤
gael 갤
gevl 갤
gailg 갥
gaelg 갥
gevlg 갥
gailm 갦
gaelm 갦
gevlm 갦
gailb 갧
gaelb 갧
gevlb 갧
gails 갨
gaels 갨
gevls 갨
gailt 갩
gaelt 갩
gevlt 갩
gailp 갪
gaelp 갪
gevlp 갪
gailh 갫
gaelh 갫
gevlh 갫
gaim 갬
gaem 갬
gevm 갬
gaib 갭
gaeb 갭
gevb 갭
gaibs 갮
gaebs 갮
gevbs 갮
gais 갯
gaes 갯
gevs 갯
gaiss 갰
gaess 갰
gevss 갰
gaing 갱
gaeng 갱
gevng 갱
gaij 갲
gaiz 갲
gaej 갲
gevj 갲
gaez 갲
gevz 갲
gaich 갳
gaic 갳
gaech 갳
gaec 갳
gevch 갳
gevc 갳
gaik 갴
gaek 갴
gevk 갴
gait 갵
gaet 갵
gevt 갵
gaip 갶
gaep 갶
gevp 갶
gaih 갷
gaeh 갷
gevh 갷
gya 갸
gyag 갹
gyagg 갺
gyaG 갺
gyags 갻
gyan 갼
gyanj 갽
gyanh 갾
gyad 갿
gyal 걀
gyalg 걁
gyalm 걂
gyalb 걃
gyals 걄
gyalt 걅
gyalp 걆
gyalh 걇
gyam 걈
gyab 걉
gyabs 걊
gyas 걋
gyass 걌
gyang 걍
gyaj 걎
gyaz 걎
gyach 걏
gyac 걏
gyak 걐
gyat 걑
gyap 걒
gyah 걓
gyai 걔
gyae 걔
gyev 걔
gyaig 걕
gyaeg 걕
gyevg 걕
gyaigg 걖
gyaiG 걖
gyaegg 걖
gyevgg 걖
gyaeG 걖
gyevG 걖
gyaigs 걗
gyaegs 걗
gyevgs 걗
gyain 걘
gyaen 걘
gyevn 걘
gyainj 걙
gyaenj 걙
gyevnj 걙
gyainh 걚
gyaenh 걚
gyevnh 걚
gyaid 걛
gyaed 걛
gyevd 걛
gyail 걜
gyael 걜
gyevl 걜
gyailg 걝
gyaelg 걝
gyevlg 걝
gyailm 걞
gyaelm 걞
gyevlm 걞
gyailb 걟
gyaelb 걟
gyevlb 걟
gyails 걠
gyaels 걠
gyevls 걠
gyailt 걡
gyaelt 걡
gyevlt 걡
gyailp 걢
gyaelp 걢
gyevlp 걢
gyailh 걣
gyaelh 걣
gyevlh 걣
gyaim 걤
gyaem 걤
gyevm 걤
gyaib 걥
